show_id,director_id,actor_id
169,119,200
169,119,1249
169,119,1250
169,119,1251
169,119,1252
169,119,1253
169,119,1254
169,119,1255
170,120,886
170,120,1256
170,120,1257
170,120,227
170,120,1258
170,120,1259
170,120,1260
170,120,1261
170,120,1262
171,121,1263
171,121,1264
171,121,1265
171,121,1266
171,121,1267
171,121,1268
171,121,1269
171,121,1270
171,121,379
171,121,1271
171,121,1272
171,121,1273
171,121,1274
171,121,1275
171,121,1276
171,121,1277
171,121,1278
171,121,1279
171,121,1280
171,121,1281
171,121,1282
171,121,1283
171,121,1087
171,121,1284
171,121,1061
171,121,1285
171,121,1286
171,121,1287
171,121,1288
171,121,1289
171,121,1290
171,121,1291
171,121,1292
171,121,1293
171,121,1294
171,121,1295
172,122,1213
172,122,958
172,122,1296
172,122,1297
172,122,1298
173,123,1299
173,123,1300
173,123,1301
173,123,1302
173,123,1303
173,123,1304
173,123,1305
173,123,1306
173,123,1307
173,123,1308
173,123,1309
173,123,1310
173,123,1311
173,123,1312
174,124,1313
175,37,1005
175,37,1314
175,37,1315
175,37,1316
175,37,1317
175,37,1318
175,37,1319
175,37,1320
175,37,1321
175,37,1322
175,37,1323
175,37,1324
176,125,1325
176,125,1326
176,125,1327
176,125,1328
176,125,1329
176,125,1330
176,125,1331
176,125,1332
177,126,1333
177,126,1334
177,126,1335
177,126,1336
177,126,1337
177,126,1338
177,126,907
177,126,1339
177,126,1340
177,126,1341
178,127,1342
178,127,1343
178,127,1344
178,127,1345
178,127,1346
178,127,1347
178,127,1348
178,127,1349
178,127,1350
178,127,1351
179,128,1352
179,128,1353
179,128,1354
179,128,1355
179,128,1356
179,128,1357
179,128,1358
179,128,1359
179,129,1352
179,129,1353
179,129,1354
179,129,1355
179,129,1356
179,129,1357
179,129,1358
179,129,1359
180,130,1333
180,130,1360
180,130,1361
180,130,1362
180,130,1363
180,130,1364
180,130,1365
180,130,1366
181,131,1333
181,131,1367
181,131,1362
181,131,1364
181,131,1368
181,131,1369
181,131,1370
181,131,1366
181,131,1371
181,131,1372
183,132,997
183,132,943
183,132,1373
183,132,1374
183,132,1240
183,132,1375
183,132,1376
183,132,1377
183,132,1378
183,132,1379
184,120,1380
184,120,1381
184,120,1382
184,120,1383
184,120,848
184,120,1384
184,120,1385
184,120,1386
184,120,1387
184,120,1388
185,0,1389
186,65,0
186,66,0
187,0,1390
187,0,1391
187,0,1392
187,0,1393
187,0,1394
187,0,1395
187,0,1396
187,0,1397
187,0,1398
187,0,1399
188,0,1400
189,133,1401
189,133,1402
189,133,1403
189,133,1404
189,133,1405
189,133,1406
189,133,1407
189,133,1408
189,134,1401
189,134,1402
189,134,1403
189,134,1404
189,134,1405
189,134,1406
189,134,1407
189,134,1408
190,0,611
190,0,1409
190,0,1410
190,0,609
190,0,1411
190,0,1412
190,0,1413
191,135,1414
191,135,1415
191,135,1416
192,136,1417
192,136,1418
192,136,1419
192,136,1420
192,136,1421
192,136,1422
192,136,1423
192,136,1424
192,136,1425
192,136,1426
192,136,1427
192,136,1428
192,136,1429
192,136,1430
192,136,1431
193,137,1432
193,137,1433
193,137,1434
193,137,1435
193,137,1436
193,137,1437
193,137,1438
194,0,1439
194,0,1440
194,0,1441
194,0,1442
